카테고리,질문,키워드ID,키워드
A,매력적인가요?,A-1,"독보적이다, 압도적이다, 강렬하다, 치명적이다"
A,매력적인가요?,A-2,"상큼하다, 청량하다, 싱그럽다, 러블리하다, 아리땁다, 어여쁘다"
A,매력적인가요?,A-3,"빛나다, 해사하다, 눈부시다, 눈길을 끌다, 선명하다"
A,매력적인가요?,A-4,"우아하다, 매혹적이다, 고혹적이다, 여신 같다, 환상적이다"
A,매력적인가요?,A-5,"청초하다, 단아하다, 은은하다, 그윽하다"
A,매력적인가요?,A-6,"세련되다, 감각적이다, 화려하다, 몽환적이다"
A,매력적인가요?,A-7,"신비롭다, 완벽하다, 천상계, 경이롭다"
B,일상 생활과 자기 관리는요?,B-1,"부지런하다, 바지런하다"
B,일상 생활과 자기 관리는요?,B-2,"일관되다, 성실하다, 절제력 있다"
B,일상 생활과 자기 관리는요?,B-3,"꼼꼼하다, 알차다, 정성스럽다"
B,일상 생활과 자기 관리는요?,B-4,"정갈하다, 섬세하다"
C,콘텐츠는 어떤가요?,C-1,"착장이 느낌 있다, 스타일이 트렌디하다, 스타일이 독창적이다"
C,콘텐츠는 어떤가요?,C-2,"구도가 특별하다, 조명 활용을 잘 한다, 배경이 인상 깊다, 음악과 편집이 감각적이다"
C,콘텐츠는 어떤가요?,C-3,"대본이 좋다, 편집과 영상미가 센스 넘친다, 기획력이 좋다, 퀄리티가 좋다"
C,콘텐츠는 어떤가요?,C-4,"바이럴에 한 몫한다, 후킹이 좋다, 썸네일이 센스 있다, 아이디어가 독창적이다"
C,콘텐츠는 어떤가요?,C-5,"업로드 주기가 꾸준하다, 구성에 대해 신경 쓴다, 프로페셔널하다, 구성이 체계적이다"
D,설명 방식과 전달력은요?,D-1,"신뢰가 간다, 유용한 정보가 많다, 설득력 있다"
D,설명 방식과 전달력은요?,D-2,"진정성 있다, 진솔하다"
D,설명 방식과 전달력은요?,D-3,"설명이 명쾌하다, 이해하기 쉽다, 차분하다"
D,설명 방식과 전달력은요?,D-4,"친절하다, 유머러스하다, 생동감 넘친다"
E,성장 잠재력과 성격적인 특징은요?,E-1,"발전적이다, 잠재력이 있다, 탐구적이다"
E,성장 잠재력과 성격적인 특징은요?,E-2,"도전적이다, 진취적이다, 주도적이다"
E,성장 잠재력과 성격적인 특징은요?,E-3,"열정적이다, 긍정적이다"
E,성장 잠재력과 성격적인 특징은요?,E-4,"유연하다, 수용적이다"
E,성장 잠재력과 성격적인 특징은요?,E-5,"매력적이다, 톡톡 튄다, 발랄하다"
F,영향력은요?,F-1,많은 분들에게 좋은 영향력을 주는 것 같다
F,영향력은요?,F-2,많은 분들에게 영감을 준다
F,영향력은요?,F-3,많은 분들에게 귀감이 된다
F,영향력은요?,F-4,많은 분들에게 좋은 에너지를 주는 것 같다
